타일맵Id,X좌표,Y좌표,이동가능타일맵파일,이동불가타일맵파일
int,int,int,string,string
Id,Xindex,Yindex,TownFileName,OutlandFileName
98000001,0,0,t_749,t_741
98000002,0,1,t_742,t_741
98000003,0,2,t_749,t_741
98000004,0,3,t_749,t_741
98000005,0,4,t_739,t_741
98000006,0,5,t_739,t_741
98000007,0,6,t_749,t_741
98000008,0,7,t_742,t_741
98000009,0,8,t_739,t_741
98000010,0,9,t_749,t_750
98000011,1,0,t_740,t_741
98000012,1,1,t_740,t_750
98000013,1,2,t_749,t_750
98000014,1,3,t_742,t_743
98000015,1,4,t_749,t_747
98000016,1,5,t_739,t_741
98000017,1,6,t_739,t_747
98000018,1,7,t_740,t_750
98000019,1,8,t_742,t_741
98000020,1,9,t_749,t_743
98000021,2,0,t_739,t_741
98000022,2,1,t_740,t_741
98000023,2,2,t_749,t_741
98000024,2,3,t_740,t_743
98000025,2,4,t_740,t_747
98000026,2,5,t_740,t_741
98000027,2,6,t_740,t_741
98000028,2,7,t_742,t_747
98000029,2,8,t_742,t_747
98000030,2,9,t_742,t_747
98000031,3,0,t_739,t_741
98000032,3,1,t_749,t_741
98000033,3,2,t_749,t_750
98000034,3,3,t_740,t_743
98000035,3,4,t_742,t_750
98000036,3,5,t_740,t_743
98000037,3,6,t_740,t_750
98000038,3,7,t_739,t_750
98000039,3,8,t_740,t_747
98000040,3,9,t_749,t_750
98000041,4,0,t_739,t_741
98000042,4,1,t_749,t_750
98000043,4,2,t_740,t_743
98000044,4,3,t_739,t_747
98000045,4,4,t_739,t_741
98000046,4,5,t_742,t_743
98000047,4,6,t_749,t_741
98000048,4,7,t_742,t_750
98000049,4,8,t_742,t_743
98000050,4,9,t_739,t_747
98000051,5,0,t_742,t_741
98000052,5,1,t_742,t_741
98000053,5,2,t_749,t_743
98000054,5,3,t_742,t_747
98000055,5,4,t_740,t_750
98000056,5,5,t_742,t_743
98000057,5,6,t_749,t_741
98000058,5,7,t_740,t_747
98000059,5,8,t_742,t_747
98000060,5,9,t_749,t_741
98000061,6,0,t_742,t_741
98000062,6,1,t_740,t_743
98000063,6,2,t_749,t_741
98000064,6,3,t_749,t_747
98000065,6,4,t_749,t_743
98000066,6,5,t_742,t_741
98000067,6,6,t_739,t_741
98000068,6,7,t_740,t_747
98000069,6,8,t_742,t_741
98000070,6,9,t_739,t_741
98000071,7,0,t_740,t_741
98000072,7,1,t_749,t_750
98000073,7,2,t_740,t_743
98000074,7,3,t_749,t_747
98000075,7,4,t_739,t_741
98000076,7,5,t_749,t_747
98000077,7,6,t_739,t_743
98000078,7,7,t_742,t_750
98000079,7,8,t_749,t_741
98000080,7,9,t_739,t_750
98000081,8,0,t_739,t_741
98000082,8,1,t_740,t_750
98000083,8,2,t_749,t_741
98000084,8,3,t_739,t_743
98000085,8,4,t_749,t_743
98000086,8,5,t_742,t_741
98000087,8,6,t_742,t_747
98000088,8,7,t_742,t_750
98000089,8,8,t_740,t_743
98000090,8,9,t_739,t_743
98000091,9,0,t_742,t_747
98000092,9,1,t_739,t_741
98000093,9,2,t_739,t_741
98000094,9,3,t_739,t_741
98000095,9,4,t_739,t_747
98000096,9,5,t_739,t_743
98000097,9,6,t_739,t_747
98000098,9,7,t_739,t_750
98000099,9,8,t_739,t_743
98000100,9,9,t_739,t_743
